betaH,betaN,betaD,betaW
0.006593390930441652,-0.09573283023918643,0.1336945250459318,-0.04455508573718701
0.0009699023278102231,-0.0029971195650849783,0.005058546753977054,-0.0030313295167022987
-1.0785703329570697,-0.04706022741847312,0.9198080038434625,0.20582255653208048
-0.09723186658947064,0.04276249757106478,0.03901629569813397,0.015453073320271883
0.006715214477600006,-0.0015881734529488607,-0.0037015898665889333,-0.0014254511580622116
-2.692735081773239e-05,1.5677905449456944e-05,5.300917187871495e-06,5.948528180403949e-06
2.9427860369744492e-08,-1.1103633156463997e-08,-1.2061237388541721e-08,-6.2629898247387714e-09
0.6082871420690749,0.044950175209010235,0.035380445383634794,0.31138223733828013
0.0020555307354053766,0.000875885727188255,-0.002876790171673729,-5.462629091990238e-05
-3.250759784862822e-07,-4.3900699341539645e-07,7.27340652543811e-07,3.674231935786764e-08
